,tweetID,tweet_text,tweet_class
2000,2.64E+17,hurricane sandy. I am bringing clothes. We are giving blood. How can I volunteer.,request
2354,2.66E+17,sandy hurricane,request
2413,2.65E+17,good job abc ! _MENTIOM_ : donated # dayofgiving help suffer hurricane sandy ? go : _URL_ I will volunteer for work.,request
982,2.65E+17,_RT_ : help hand crush : velah donate proceeds digital sale hurricane relief : everyo ... _URL_. You want to help.,not_excl
231,2.65E+17,_RT_ : benefit concert long island hurricane sandy victim ... _URL_ # long # island # hurricane # sandy. How can we assist.,not_excl
1602,2.64E+17,american red cross donation accept itunes hurricane sandy relief : h ... _URL_ # tech # news,request
2735,2.64E+17,help u help victim hurricane sandy ! _URL_ via _MENTIOM_,request
1797,2.65E+17,_NUM_x_NUM_ original paint $ _NUM_ hurricane relief fund _URL_,request
874,2.66E+17,_RT_ : . _MENTIOM_ donates $ _NUM_ mill hurricane # sandy relief ! full story : _URL_,not_excl
1734,2.66E+17,"every demo navrisk _MENTIOM_ # nwcdconf , donation make hurricane # sandy relief . reply schedule .",request
2085,2.65E+17,please go itunes & make donation red cross aid hurricane relief text _NUM_ give $ _NUM_ # sandyhelp,request
1161,2.64E+17,starkist commit $ _NUM_ product hurricane relief effort _URL_,not_excl
2095,2.65E+17,"_MENTIOM_ : be n't watch , turn nbc twc & watch `` hurricane sandy : come together `` pls text redcross _NUM_ & help",request
130,2.64E+17,"houston height , here 's help # hurricane # sandy survivor _URL_",not_excl
2247,2.65E+17,download _MENTIOM_ music # itunes today ! ! _URL_ donate _NUM_ % hurricane victim - via - _MENTIOM_,request
2433,2.65E+17,_RT_ : red cross hurricane sandy relief fund please donate . # hurricanesandy _URL_,request
938,2.63E+17,"hurricane # sandy , faith-based organization mobilize help victim _URL_",not_excl
148,2.64E+17,"napa , here 's help # hurricane # sandy survivor _URL_",not_excl
775,2.64E+17,new blogpost : hurricane sandy relief _URL_,not_excl
2097,2.65E+17,itunes make easy : donate help hurricane victim ! # sandyhelp,request
1513,2.64E+17,_RT_ : we 're raffle jim beam guitar tomorrow night red cross hurricane relief fund ... value ... http : ...,request
85,2.65E+17,_RT_ : _RT_ : _MENTIOM_ : here 's volunteer offline & online help affect hurricane # sandy : ...,request
2402,2.65E+17,_RT_ : please come watch livestream _MENTIOM_ help raise money hurricane sandy victim ! _URL_ ...,request
1491,2.65E+17,tonight offer _NUM_ $ top shelf open bar _NUM_-_NUM_ _NUM_ $ go hurricane sandy relief effort ! # hurricansandy # reliefeffort # rvc # mcfaddens,request
2062,2.64E+17,"need help distress hurricane sandy via red cross salvation army donation , course prayer .",request
344,2.64E+17,_MENTIOM_ do n't think donald trump donate $ _NUM_m red cross hurricane relief ! ! !,not_excl
2454,2.65E+17,-- - > ... hurricane sandy relief ... -- - > please -- - > call _NUM_-_NUM_- help-now text redcross _NUM_ thank ! ! ! & god bless ...,request
1662,2.66E+17,call american red cross donate hurricane sandy relief make talk .,request
1456,2.66E+17,adam levine urge el lay donate hurricane sandy relief ! : nice way take advantage fame ! ... _URL_,request
2012,2.64E+17,here 's info help victim hurricane sandy ... _URL_,request
147,2.64E+17,"gwinnett county , here 's help # hurricane # sandy survivor _URL_",not_excl
2547,2.65E+17,_RT_ : help support hurricane sandy relief effort friends ~ _NUM_ % profit donate _URL_,request
1278,2.64E+17,# lakers announce today donate $ _NUM_ american red cross assist victim hurricane sandy ! # bigbrother,not_excl
2727,2.65E+17,_RT_ : please tune watch hurricane sandy relief benefit concert tonight _MENTIOM_ _NUM_p et . help raise money _MENTIOM_ ! # sand ...,request
2212,2.65E+17,_MENTIOM_ : help victim hurricane sandy blink - _NUM_ t-shirt _URL_ dude,request
2398,2.65E+17,_RT_ : help blogger _MENTIOM_ lose everything hurricane ... _URL_,request
361,2.65E+17,occupy wall street outperform red cross hurricane relief ? _URL_,not_excl
1894,2.64E+17,we 'll raise money _MENTIOM_ ( hurricane sandy ) wsoc champ weekend - great job be 's jen condaras make happen,request
2597,2.65E+17,please text _NUM_ make $ _NUM_ donation red cross help hurricane victim ny nj surround area . thank !,request
2188,2.65E+17,mazon incredible charity please check support effort victim hurricane sandy _URL_,request
1610,2.65E+17,"_MENTIOM_ we 're host sandy hurricane relief _MENTIOM_ _NUM_/_NUM_ w / wine , food , raffle & _NUM_ % red cross _URL_",request
2356,2.66E+17,_RT_ : join u donate _MENTIOM_ help hurricane victim ! : ) # helpothers _URL_,request
2760,2.66E+17,_RT_ : west elm store collect clean blanket throw donate victim hurricane sandy . give warmth .,request
1572,2.65E+17,_RT_ : shop swarovski jewelry ; proceeds go americares disaster relief help affect hurricane sandy _URL_ ...,request
1335,2.64E+17,_RT_ : ford pitch help hurricane sandy relief donate american red cross ... http : / ...,not_excl
1560,2.64E+17,_RT_ : join _MENTIOM_ support hurricane sandy relief effort give american red cross _URL_,request
276,2.65E+17,anyone connection hurricane sandy relief effort nyc know / sign ? have n't hear back redcross nyccares,not_excl
365,2.63E+17,_MENTIOM_ take _NUM_ million donate red cross affect hurricane sandy,not_excl
927,2.64E+17,chelsea handlr drop $ _NUM_r_NUM_r _NUM_ hurricane sandy relief # celebrity # chelseahandler # deniserichards # hurricanesandy _URL_,not_excl
652,2.64E+17,effort obama romney help hurricane victim basis undecided vote . # obamamama # obamabiden_NUM_,not_excl
1097,2.64E+17,time something good money .. `` _MENTIOM_ : _MENTIOM_ donate $ _NUM_ aid hurricane sandy relief effort . ``,not_excl
601,2.64E+17,"_MENTIOM_ know jet disaster , please help hurricane victim anyway # helpstatenisland",not_excl
52,2.64E+17,do n't bore wkend w / subway . here 's _NUM_ way help hurricane victim yr community : _URL_ _MENTIOM_,request
941,2.65E+17,"`` _MENTIOM_ : donate hurricane sandy relief , $ _NUM_ go long way . # nbacares # clipper `` see",not_excl
2048,2.64E+17,_RT_ : spare $ _NUM_ ? text redcross _NUM_ give american disaster relief help affect hurricane sandy . # r ...,request
1496,2.64E+17,look safe way donate hurricane sandy victim ? _URL_ _URL_,request
2693,2.65E+17,_MENTIOM_ : text redcross _NUM_ make $ _NUM_ donation affect hurricane sandy . # sandyhelp do n't jersey shore cast help !,request
2031,2.64E+17,hurricane sandy relief . text redcross _NUM_ donate $ _NUM_ disaster relief effort . also give blood . please rt .,request
1775,2.64E+17,_RT_ : apple make easier concerned citizen help victim hurricane sandy via link itunes . _URL_,request
1829,2.64E+17,shop cause : coveteur shoppable today 's proceeds go hurricane sandy victim : _URL_ ( cc _MENTIOM_ ),request
1757,2.64E+17,trivia night benefit hurricane sandy relief effort _URL_ # commack,request
957,2.64E+17,_RT_ : excellent profile former sergeant marvin avilez - veteran jump help hurricane sandy victim : _URL_ ...,not_excl
1458,2.65E+17,app week : hurricane american red cross : verizon pledge match customer 's red cross donation ... _URL_,request
1044,2.66E+17,airbnb partner _URL_ provide free housing hurricane sandy victim _URL_ - _MENTIOM_,not_excl
1016,2.65E+17,roger pamela foulks post new press release title gift hurricane sandy victim . _MENTIOM_ : //t.co/cbmsbjc_NUM_ # ibotoolbox,not_excl
1314,2.66E+17,$ _NUM_ million raise hurricane sandy relief concert - _URL_ _URL_,not_excl
2557,2.63E+17,help | hurricane sandy : able assist hurricane cleanup ? volunteer nursi ... _URL_ # bronx,request
615,2.66E+17,# art # kunst # art hurricane sandy relief t-shirt - still love ny sebastian errazuriz : influenced wat ... _URL_,not_excl
2205,2.65E+17,help victim hurricane sandy ! fri nov _NUM_ backyard alehouse ! $ _NUM_ drink miller _NUM_-_NUM_ ! scranton rt pls ! _URL_,request
1142,2.64E+17,_MENTIOM_ : toyota donate $ _NUM_ million hurricane sandy relief effort _URL_ _MENTIOM_ # latism # latism_NUM_,not_excl
688,2.65E+17,governor do great job nyc hurricane sandy relief effort .,not_excl
1393,2.63E+17,sign donate blood help victim hurricane # sandy : _URL_,request
820,2.66E+17,_RT_ : nj / ny / ct : please text _NUM_ find polling place change due hurricane sandy . # vote,not_excl
2089,2.65E+17,text redcross _NUM_ make $ _NUM_ donation help devastate hurricane d : life turn dream : ( # sandyhelp,request
506,2.66E+17,# ted help hurricane sandy relief _URL_,not_excl
2474,2.64E+17,_RT_ : please help . donate red cross - hurricane sandy relief _URL_,request
2778,2.63E+17,_RT_ : thought affect hurricane # sandy . interested help visit _URL_ ...,request
1049,2.64E+17,donate red cross victim hurricane sandy via u cellular # salute,not_excl
2624,2.66E+17,we 're take donation wednesday _MENTIOM_ hurricane sandy relief nj coast _URL_,request
818,2.64E+17,_RT_ : photo videos _MENTIOM_ # hurricane # sandy relief effort : _URL_ please rt,not_excl
428,2.63E+17,_RT_ : you 're need hurricane relief _MENTIOM_ shelter locator app . download fema app text word `` shelter ...,not_excl
393,2.65E+17,hurricane sandy relief | premadepaleo _URL_,not_excl
